stimLeft,stimRight,action,chosen,conf,RT_choice,RT_conf
3,2,2,2,0.501,11.2164338015918,2.64964780149239
2,4,1,2,1,2.46619324831408,2.02450122436312
1,3,2,3,0.506,7.25812086480073,2.79137024563533
4,1,2,1,1,2.62465677502223,2.02468682457948
3,4,1,3,1,2.48300389532415,2.44969735190352
1,3,1,1,0.825,11.6241270588853,1.69966520685739
2,4,1,2,0.997,2.49062234233133,1.6830336027615
3,4,1,3,1,2.64967032440654,2.34953196529023
2,3,1,2,0.664,11.6747103881098,2.54966088759102
1,4,1,1,0.998,2.1068581133386,1.84974764357503
1,2,2,2,1,8.69952294186805,1.40797351077163
2,4,1,2,1,1.74116495924864,1.89948736136648
1,2,1,1,0.503,9.1829467897569,2.07469254083844
4,3,2,3,0.994,2.04875868807176,1.89135687443559
1,4,1,1,1,2.40798862108022,1.70818257473366
3,1,1,3,0.998,7.39151496248633,1.96634078765783
2,3,1,2,1,4.95802270480817,2.8080121133371
2,3,1,2,1,6.20802249098233,2.17463241321093
3,1,1,3,0.818,4.24148669480201,2.19135382386412
4,3,2,3,1,4.13304770096693,3.04141393723694
4,2,2,2,1,3.92379699840785,3.24131420919366
1,4,1,1,1,1.7163524054904,2.69146572568388
2,1,1,2,1,3.86633876344604,2.11635308973018
2,3,1,2,0.169,38.4333409645369,9.31642817493412
1,2,1,1,0.829,5.63301629152556,3.89952755914419
3,1,2,1,0.829,3.13296540100055,3.33296688352493
4,3,2,3,0.825,3.05798383990259,3.58319375263818
1,4,1,1,0.843,2.191336122949,1.87465819954741
2,4,1,2,0.828,2.25800442419495,1.37487786986094
2,1,2,1,0.832,2.94964945407628,2.32468013807011
4,3,2,3,0.831,5.02462274723803,1.59991293015628
2,4,1,2,0.836,3.1913150254768,2.04120992299431
3,2,2,2,0.146,7.84969219071354,1.50794134560056
4,1,2,1,0.835,1.89128129803066,1.5832732958188
1,3,1,1,0.823,2.04125867526818,1.62466767915612
4,1,2,1,0.832,1.90798821620774,1.65810375337969
3,2,2,2,0.167,8.91634766241259,2.52470357337006
2,1,2,1,0.837,1.72463035943292,1.64989084908666
4,2,2,2,0.828,2.01626928814949,2.4163731789522
3,4,1,3,0.83,2.15813924845861,1.64961087991105
1,3,1,1,0.833,1.6498694665097,1.88304900686489
1,2,1,1,0.833,1.79153101798875,1.79136166800163
4,2,2,2,0.835,2.37460018149432,1.53327684532633
3,1,2,1,0.844,1.54130814029122,1.69136449050347
2,3,1,2,0.192,2.67476106398317,1.64960916930431
1,4,1,1,0.84,3.82468541243725,1.52467620367679
3,4,1,3,0.837,2.01634455481326,1.8496069455141
3,4,2,4,0.356,5.84974261221578,9.54122908653153
2,4,1,2,0.681,2.7164492118136,2.84957554393986
2,3,1,2,0.635,3.03302905619421,1.91635381753804
1,3,1,1,0.662,1.71628955612323,1.65800667588701
2,1,2,1,0.565,2.29152616015563,1.90784445430108
4,1,2,1,0.768,2.72469229216586,1.79166870988047
4,2,2,2,0.661,3.40812613255548,2.43324453435707
3,1,2,1,0.814,2.85810343864068,2.87469850733032
2,3,1,2,0.678,1.75724922367226,3.40830831110361
3,4,2,4,0.407,11.4653099544194,2.77489174774018
1,4,1,1,0.855,1.58306258388984,1.77462945624575
1,2,1,1,0.764,1.55743271368192,1.91655481264752
2,4,1,2,0.754,1.56634520753505,3.03306070223698
3,2,2,2,0.708,1.99883679424966,2.44969049603606
1,4,1,1,0.852,1.59122583639692,2.15781366356532
3,1,2,1,0.719,1.69929762899847,3.34134415266817
1,2,1,1,0.784,2.70778190348574,1.84968872842364
4,3,1,4,0.162,4.9247534174865,2.21637451575953
2,4,1,2,0.763,1.69980881230731,2.04133314782666
4,3,1,4,0.306,4.19976319640045,1.94127892191318
4,1,2,1,0.855,2.00797936336312,1.56632924196674
3,2,2,2,0.664,1.93289443223694,4.08290948548529
2,1,2,1,0.797,1.84870627572309,2.04142609024711
1,3,1,1,0.742,1.60811284692318,1.6164346147234
3,2,2,2,0.497,6.69134506498085,5.81616217368719
3,4,1,3,0.868,4.76633648349525,2.58279772650712
1,4,1,1,0.864,4.04892221004411,2.20798289859522
1,3,1,1,0.989,3.49122948566946,2.61634252760268
2,4,1,2,0.992,3.74963250680594,3.09136810102791
2,1,2,1,0.528,10.9998055621763,3.61634167229931
4,1,2,1,0.682,5.31631441679929,4.39137796546129
1,3,1,1,0.987,2.89965554284572,2.58329436973872
4,3,2,3,0.575,12.0747248505213,3.09969728140277
2,4,1,2,0.908,3.63306874203408,6.09956784625683
1,2,1,1,0.535,8.65720811233041,5.01639749477908
2,3,1,2,0.683,3.92463652671722,3.31638027476583
1,3,1,1,0.841,2.68287419016997,6.89978070150391
1,2,1,1,0.832,2.81621577238548,3.54971649710933
2,3,1,2,0.839,2.51634731727245,2.44969049603242
1,4,1,1,0.756,1.75799247793475,6.19136359645199
2,4,1,2,0.842,2.49967242073035,2.47467746699112
3,4,1,3,0.578,3.18321830521018,3.14137454426964
3,1,2,1,0.987,2.24963906410267,2.89968063159904
1,4,1,1,0.843,2.02465340459457,3.24136006121262
3,2,2,2,0.903,2.41633157978504,3.62471304740757
2,1,2,1,0.85,3.26638067390741,2.39156071421166
4,2,2,2,0.844,1.86640439417533,1.89156328009994
4,3,1,4,0.498,11.3081366242186,2.46629240711627
4,3,2,3,0.166,26.1850890739079,4.56963511279173
3,2,2,2,0.668,4.14926407163875,2.06367725124437
2,4,1,2,0.675,4.39950195416168,2.61125653722411
1,4,1,1,0.829,2.47641253042821,2.3833439035152
1,3,1,1,0.513,3.83007168764016,2.71225301378581
2,1,1,2,0.499,6.73117370920227,1.82706185886491
4,1,2,1,0.665,5.34799659073906,1.71265971272805
3,4,1,3,0.334,12.8018088908429,3.92097467475833
4,2,2,2,0.834,3.66219269319117,1.6785252266709
2,3,1,2,0.832,1.72439154460153,2.20704953387758
3,1,2,1,0.498,2.27618279471062,5.2317478346813
1,2,2,2,0.662,4.81287914198765,2.63122113603458
4,2,2,2,0.664,4.54295976759749,5.88796064214694
3,1,2,1,0.835,4.70194783562329,2.8330109535018
1,4,1,1,0.832,2.57472975475685,2.33773332267447
3,4,2,4,0.164,16.3254895889768,2.5208419309638
2,1,1,2,0.666,1.98770452017925,1.96016830750887
2,3,1,2,0.833,3.29457918633125,3.64388226001756
1,3,1,1,0.832,2.11322096582444,3.06110534015897
1,2,2,2,0.666,2.95424615507363,1.69705932287616
4,3,1,4,0.168,2.77573910369392,1.72720935672987
2,4,1,2,0.837,1.71177703489957,2.02023102723615
3,2,2,2,0.745,2.85440691020631,2.08044043229165
4,1,2,1,0.835,2.78433922540717,1.71409491951636
2,1,1,2,0.84,2.71831843031396,2.24370461255603
3,2,2,2,0.666,2.48014851566404,2.50319992097502
3,4,2,4,0.351,3.53611302723584,1.27172877841804
3,1,2,1,0.815,1.64101013581967,1.39293917606119
4,2,2,2,0.667,1.60495248978259,2.0294119030732
1,4,1,1,0.837,1.83460567521979,1.71051117910247
1,3,1,1,0.84,1.33462085694191,1.68015800959256
2,4,1,2,1,1.95213696559949,1.9743801048462
4,1,2,1,0.737,2.31462589470902,1.91214960705838
2,3,1,2,0.842,2.92226747276436,2.09597966761794
2,1,1,2,0.844,2.36753396321728,1.57705405418528
4,3,2,3,0.718,8.3901299170102,1.8884695503948
1,2,2,2,0.662,2.4317864090699,1.68173220392782
3,1,2,1,0.513,1.87412475264864,1.58677291873028
1,4,1,1,0.84,1.59978642959322,1.54522932731197
3,2,2,2,0.834,1.575319061958,1.62388002766238
3,4,2,4,0.498,1.77607438442647,2.46509766120289
2,4,1,2,0.945,1.30557417038654,1.81411420670338
1,3,1,1,0.913,1.53024561451457,1.40895738384279
1,2,2,2,0.76,2.75913971412228,1.51232092523423
4,2,2,2,0.736,1.9817772358947,1.45514743585954
2,3,1,2,1,1.27400560825481,1.80755527748261
4,3,1,4,0.496,2.39027489171713,1.28927328329883
4,1,2,1,0.832,2.09523426671512,1.72007779880369
3,2,2,2,0.833,5.68027860802249,5.37897499036626
4,1,2,1,1,2.67271939611237,3.03232764794666
2,1,1,2,0.841,2.01191272951837,1.34280102243065
1,3,2,3,0.503,4.94334696551959,1.52310250993469
4,2,2,2,0.993,1.66663901171705,1.90541448438307
4,3,2,3,0.812,1.74721586561645,1.67231398013246
4,2,2,2,1,1.57901912427042,1.84136902306636
3,1,2,1,0.352,2.47547938942444,1.83353996148799
1,2,2,2,0.838,1.65329449664569,1.65599213801033
2,3,1,2,0.861,1.47343178212759,1.47347967937822
4,3,2,3,0.82,1.63486945220211,1.60180794999178
4,1,2,1,0.748,1.34571120781766,1.57543837741832
1,4,1,1,0.75,1.54772768191469,1.29303236186388
3,4,1,3,0.544,1.48708891225397,1.26490684199962
1,2,2,2,0.759,1.63861741176515,1.65614523814293
2,3,1,2,0.729,1.81921740174585,1.45751107945398
3,1,2,1,0.397,1.66805283579743,1.39808855773299
2,4,1,2,0.884,2.02922715654131,1.35982122352289
2,1,1,2,0.844,1.44896526979574,1.73805765545694
1,3,1,1,0.465,2.18584302789532,1.48183689362486
3,2,2,2,0.776,1.72151386091718,1.65670974140812
2,4,1,2,0.773,1.37220095118391,1.87407428948791
3,4,1,3,0.805,1.26777554495493,1.29681538905425
1,4,1,1,0.67,1.26539693346422,1.36144759165472
4,3,2,3,0.334,41.8164188340527,3.19934663023628
3,2,2,2,0.502,3.14832622643689,2.55302289360088
4,2,2,2,0.501,3.71698928170804,2.09627688714068
4,1,2,1,0.669,3.64300385872207,2.3217493271934
1,3,1,1,0.665,3.43886707615957,1.92081473216672
2,1,1,2,0.334,5.52887883236781,3.08883656304761
2,4,1,2,0.669,2.63187031478333,2.38494974424157
3,1,2,1,0.672,2.37597157640516,7.24614266793651
1,4,1,1,0.666,5.76352402282146,1.83324701850347
2,1,2,1,0.508,32.6911008198554,2.63590052597169
3,4,1,3,0.662,7.32416899346072,2.1961580420973
2,3,1,2,0.828,2.05198989539144,2.9243809387774
4,1,2,1,0.831,5.18052899943086,2.83987693828817
4,2,2,2,0.834,1.96277400325607,2.21469598719432
3,1,2,1,0.667,1.8668345351125,1.8333663339663
2,3,1,2,0.672,3.54489618485604,2.50253791259524
1,2,2,2,0.33,4.39312050134731,2.49270571974375
3,4,1,3,0.506,4.99629651645887,1.86769497493742
1,2,1,1,0.335,7.08178925296988,2.08191626620442
1,3,1,1,0.667,2.65236605983978,1.8251442583819
1,4,1,1,0.665,5.43018570019126,1.79541760198163
2,4,1,2,0.665,5.81483565898702,1.4100025702005
3,2,2,2,0.671,2.67307434892905,2.02575588911623
4,3,2,3,0.332,3.3133895470246,1.96920121505059
4,3,1,4,0,1.73222573801286,2.7606796961436
4,1,2,1,0.147,1.99403037797401,8.47443078185006
3,1,2,1,0.01,1.93602039738471,2.48059883532733
1,2,2,2,0.165,1.77899654412886,13.3060360366908
2,4,1,2,0.33,2.23259245130885,3.29114940134878
3,2,2,2,0.331,1.71933282556529,2.62381117536916
2,3,1,2,0.33,1.45591079822043,1.83499484035474
1,4,1,1,0.337,1.98733331651238,2.9681295141545
2,1,1,2,0.325,1.32089273625388,1.7293985174947
4,2,2,2,0.349,1.59814723185991,1.79421461131187
3,4,2,4,0.303,1.62729014056549,1.74429627184054
1,3,1,1,0.288,1.99606729392144,2.19380680046834
4,1,1,4,0.002,1.36912825727995,4.00168923325509
3,1,2,1,0.301,1.67150400348237,1.64240941967728
3,2,2,2,0.006,1.32314347919601,1.87601925982563
1,2,2,2,0.247,1.51283881421841,1.87978133196248
2,4,1,2,0.252,1.52175197864835,1.62524296092215
4,3,2,3,0.288,3.41770932272811,1.9509549299737
1,4,1,1,0.344,1.32620762002352,1.56007448021865
2,3,1,2,0.341,1.19390173965348,1.49550129386625
3,4,2,4,0.169,1.29687782652582,2.40826458439096
4,2,2,2,0.201,4.35205673770997,2.09840361042552
2,1,2,1,0.207,2.53013314151667,1.7918543889482
1,3,1,1,0.267,1.57260730800772,1.51189284359589
2,1,1,2,0.832,6.23991944709542,3.20169274001728
3,4,1,3,1,2.83711643179231,3.6736379968861
3,2,2,2,0.999,1.75287586616014,11.0320556600218
1,3,1,1,0.631,1.88103906234301,6.65576590904948
4,2,2,2,0.984,6.78104030253962,1.65753126471373
4,1,2,1,0.772,8.31227123184453,2.36941136422047
2,3,1,2,0.932,2.01629489992683,2.87438305566411
2,4,1,2,0.949,9.62842812782856,1.95261551041222
3,4,1,3,0.882,4.76242709034068,9.8546605090196
1,4,1,1,0.876,15.2676412615965,9.77692498820761
1,3,1,1,0.739,2.32049074150473,5.7462463740294
2,1,1,2,0.744,2.19885953234279,5.24559869206314
4,2,2,2,0.906,1.48913438128511,2.79475174472191
1,2,2,2,0.832,3.82815579776889,7.26575787343063
3,1,2,1,0.716,3.12648508193161,18.2496177842477
3,2,2,2,0.891,1.80979276315338,2.95491543356184
4,1,2,1,1,1.72008891781752,2.41622108684805
4,3,2,3,0.78,2.23301796702708,2.19333638108037
1,2,2,2,0.821,5.58419801406035,5.13798811891684
2,4,1,2,0.889,1.56353163506265,2.44930867594485
4,3,2,3,0.674,2.21960930386922,1.77598115585442
3,1,2,1,0.853,2.1336910516402,1.87396224413988
1,4,1,1,0.88,5.88026030443052,1.86462142572145
2,3,1,2,0.913,2.0006089792796,1.66950129985435
4,3,2,3,0.669,7.49846707165557,19.1812396427372
2,3,1,2,0.976,2.71245736817013,2.53112620732281
1,2,2,2,0.999,7.2089508132924,6.27446537814308
4,1,2,1,0.925,4.5951525337473,4.85844201108898
1,3,2,3,0.663,10.3783555393047,3.21248751782787
4,2,2,2,0.963,2.18370336157977,3.19399530007468
4,2,2,2,0.962,2.87809274547908,4.33106932924488
3,4,1,3,0.83,3.63273226462434,4.55991934431995
3,2,2,2,0.999,2.6839456279788,3.25605227651295
1,2,2,2,0.938,4.26656360187917,3.00239058988541
3,1,1,3,0.833,3.14099476764454,10.0573082984261
4,1,2,1,0.664,3.16211449599837,4.29152580789332
2,4,1,2,0.997,2.01220056151078,3.26542988921619
4,3,2,3,0.923,2.40344262049712,7.30178738290306
2,1,1,2,0.92,8.30033463981817,2.40884475492157
1,4,1,1,0.832,4.06300123806068,9.32278180842377
1,3,2,3,0.832,7.56436567044511,13.0646584001006
2,3,1,2,0.998,3.04461422336817,3.04053140375527
2,1,1,2,0.999,2.71318395353956,2.97701997361401
1,4,1,1,0.832,4.05780865444876,5.62657318134461
3,4,1,3,0.834,6.65636318149473,3.1878387827237
3,1,1,3,0.775,1.72280917832541,4.34473289755306
3,2,2,2,0.912,2.12677695881894,3.20908124798189
2,4,1,2,1,2.71764097103278,2.50528730913265
1,4,1,1,0.83,3.76349881432725,3.21653398678973
2,3,1,2,0.331,2.91835515441562,3.06431028915904
4,2,2,2,0.621,2.74756611007433,3.49467078070666
3,4,1,3,0.414,2.71750155559494,3.62325115947897
1,2,1,1,0.832,1.46606795005937,2.60008638625368
1,3,1,1,0.832,1.6608775047207,3.12619791432917
1,2,2,2,0.01,3.01340868609441,2.75225277815298
4,2,2,2,0.514,3.71670825608817,3.14509683172037
3,4,1,3,0.369,3.0717741469889,2.13601686670154
2,3,2,3,0.017,2.86157158833157,2.99749009444713
3,1,2,1,0.831,1.44031629343044,2.34609626080237
4,1,2,1,0.839,1.6198897933773,2.36832104895075
2,1,2,1,0.867,1.55076368441587,1.88089901575404
1,3,1,1,0.883,1.55393132292738,1.82413469413041
2,4,1,2,0.572,1.73636155640634,1.88818026501758
4,3,2,3,0.389,2.1881590961093,1.38439188568009
3,2,2,2,0.577,2.49237384720254,3.27257215069767
1,4,1,1,0.926,1.55248328404559,1.88012111181706
3,2,2,2,0.521,2.66492825022942,1.99431817938785
2,1,2,1,0.86,1.58700742194742,2.04093938635924
2,4,1,2,0.481,2.36150637098581,2.38193543696616
4,3,2,3,0.405,2.33550539165662,1.84885185399071
3,1,2,1,0.851,1.57546074450329,1.75962041366984
4,1,2,1,0.867,1.54205364073096,1.83277246416765
1,3,1,1,0.903,12.1597337421699,2.36775141286489
2,3,1,2,0.915,2.84460951916662,2.37539488567745
2,1,2,1,0.566,3.04908663643073,2.60603933995844
4,2,2,2,0.799,3.22160255053132,2.47241306314027
1,4,1,1,0.919,1.6182326313392,2.03241494482063
3,4,1,3,0.666,3.26162162393302,1.95026119012073
4,1,2,1,0.932,2.66239696194134,2.24062591544862
2,4,1,2,0.648,1.72777895382933,2.27843187567305
2,1,1,2,0.67,1.59533428700342,3.59096108983613
1,3,1,1,0.924,1.43610218381946,1.91884353610658
3,2,2,2,0.719,2.93896126945037,2.45440580584
3,4,1,3,0.664,3.07760864033662,1.94355428114432
1,2,1,1,0.873,1.56680030876669,1.97619502765701
1,4,1,1,0.927,1.70886164728472,2.00821781310333
2,4,1,2,0.706,1.90576756538212,4.19821839043652
3,1,2,1,0.902,1.68463073084058,2.67253280646219
4,3,2,3,0.668,2.71883498301213,1.99966600166408
3,2,2,2,0.749,1.80315480887111,3.28787663016556
3,1,2,1,0.899,1.48314292006944,2.21491060947119
1,2,1,1,0.902,1.66266937799628,2.0156269311301
4,1,2,1,0.886,1.33601087953502,1.99860798388545
4,2,2,2,0.709,1.49714989511813,4.03545428691723
4,3,2,3,0.663,5.29282160169532,2.07512011751896
2,3,1,2,0.694,1.51036528127952,1.59112103270127
3,2,2,2,0.529,13.9838172921445,4.4508456971962
3,4,1,3,0.518,2.7583436780842,3.75341570674209
2,4,1,2,0.768,2.88525786594255,2.04627800197341
1,2,1,1,0.585,3.86602073570248,2.00597971997922
3,1,2,1,0.654,2.44237970421091,2.8049234431237
4,1,2,1,0.615,2.34733530477388,2.44153172522783
4,3,2,3,0.502,2.74483863107162,2.0954512313474
4,1,2,1,0.717,1.78907292231452,1.61238091770792
2,4,1,2,0.763,1.71306789742084,1.85221144923707
2,3,1,2,0.709,2.32139889290556,3.15731301391497
3,1,2,1,0.567,1.57896056951722,2.70191504573449
2,1,2,1,0.611,6.33126863243524,2.02039288630476
4,2,2,2,0.527,2.02663863886846,1.53329776797909
4,3,2,3,0.523,3.27744903013809,1.71789575269213
1,3,1,1,0.606,2.48800500651123,4.70939579815604
1,4,1,1,0.552,2.08843780477764,1.76907165587181
1,2,1,1,0.603,2.57752144621918,3.78970050456701
3,2,2,2,0.453,2.85932746808976,1.63977343362058
1,4,1,1,0.691,2.09756781801116,1.79645072860876
4,2,2,2,0.724,1.82789104408585,1.49558021471603
2,3,1,2,0.63,3.47962568647927,1.62856963952072
3,4,1,3,0.56,1.9540934531251,1.40458644489991
1,3,1,1,0.519,1.79224550287472,1.95787132863188
2,1,2,1,0.528,2.56164899189025,1.42941273655742
2,1,1,2,0.331,6.6262447425197,5.02534581229884
2,3,2,3,0.165,3.88152638522661,2.70994019248792
3,1,1,3,0.499,5.10640049436915,2.81242422492869
3,4,2,4,0.332,3.65378314056761,2.20078089751951
4,2,2,2,0.67,2.80295423880671,2.13561187768209
4,1,2,1,0.503,11.3037468968305,2.35996852461176
4,1,2,1,0.503,5.40277077493192,2.23041608666063
2,1,1,2,0.506,2.52181659171947,2.27202175907223
3,2,2,2,0.661,2.78948995759674,2.5195850893906
3,1,1,3,0.341,4.79035937964363,1.83216947101209
4,2,2,2,0.505,7.26543159983521,1.91898508981831
4,3,1,4,0.497,9.18718318803803,2.40996007843023
1,4,1,1,0.496,6.1630095773271,1.35966488976192
2,4,1,2,0.666,1.9672634588278,1.96620201981204
1,2,2,2,0.514,2.10411211396058,1.7277473073791
2,3,1,2,0.58,2.32822457004659,1.28812851879593
1,3,2,3,0.407,2.49853207517299,1.40892044980683
4,3,2,3,0.223,5.49275745348677,1.46147622132776
1,2,2,2,0.543,2.39180570790631,1.44743802748599
3,4,2,4,0.169,2.84428022503198,2.83172556541285
2,4,1,2,0.584,3.38429609102059,1.71971851766284
1,3,2,3,0.592,5.83164773225508,1.92845550359561
1,4,1,1,0.418,3.92026377743059,2.00620997419173
3,2,2,2,0.647,2.24306354735199,2.63872712849115
4,2,2,2,0.999,5.90691865095869,11.7927869120613
3,2,2,2,1,3.62989035737701,2.91370667587034
1,2,2,2,0.495,5.27429798594676,2.99763400107622
1,4,1,1,0.656,2.59886469971389,1.9815296723973
3,1,2,1,0.665,2.49789875373244,2.1150025781244
4,3,2,3,0.496,5.81133710313588,2.23184930835851
4,2,2,2,0.831,2.43148230132647,7.29422700614668
2,1,1,2,0.593,3.98033245047554,1.54862332250923
4,1,2,1,0.729,1.96554641518742,2.43143525859341
3,2,2,2,0.96,1.84856183873489,2.08201570878737
3,4,1,3,0.584,8.84253999195062,3.21422392805107
3,1,2,1,0.668,1.69856887683272,2.21617419994436
2,4,1,2,0.943,1.68219067901373,1.89844693010673
3,4,1,3,0.556,4.94604552141391,1.83228319627233
2,3,1,2,1,1.83095578616485,3.38038066029549
1,4,1,1,0.744,2.83139157062396,1.71536024962552
1,3,1,1,0.662,1.71512868232094,3.26389386272058
1,2,2,2,0.663,2.81439889851026,2.66453138412908
2,3,1,2,0.999,1.88196516479366,1.91484518512152
1,3,1,1,0.663,2.66456128726713,3.44702758593485
4,3,2,3,0.584,4.09685899759643,2.11487822467461
4,1,2,1,0.666,2.38114975602366,1.9490179719869
2,1,1,2,0.89,2.39821062190458,4.3127217667643
2,4,1,2,1,2.11459924979135,1.9488757494837
1,3,1,1,0.819,3.69915000459878,4.97688169433968
2,4,1,2,1,3.28121947660111,2.65808263351209
2,3,1,2,0.994,2.34690123290056,2.14635791786714
2,1,1,2,1,4.2674335387419,6.14052925637225
3,4,1,3,0.502,6.34326946310466,2.36540783476084
1,4,1,1,0.909,2.78680527716642,3.79779398109531
2,3,1,2,1,3.10341487539699,1.74097585154232
3,1,2,1,0.834,5.32454104948556,3.10090879152995
2,4,1,2,1,1.69442544918275,5.42912264779443
4,3,2,3,0.663,6.6035409932374,2.03054422419518
1,2,2,2,0.929,2.7457966314978,2.0426766560995
4,1,2,1,0.743,3.63979748974089,3.17340232728748
1,4,1,1,0.506,3.99109144485556,5.86022391309962
2,1,1,2,0.923,1.95657017442863,1.66606219712412
3,4,1,3,0.344,3.08055163559038,2.62260124011664
4,2,2,2,0.957,1.72071350517217,3.94994553760625
3,2,2,2,0.951,1.53362924745306,2.51807412190828
3,1,2,1,0.801,5.8830928131938,3.56137057743035
1,3,1,1,0.924,5.61603072960861,1.58036785380682
4,1,2,1,0.897,2.43729572178563,1.55842653021682
4,2,2,2,0.971,1.34462049847934,3.29338763887063
3,2,2,2,0.975,1.36415373143973,1.86150879407069
4,3,2,3,0.499,4.26525256648893,2.7417010734207
1,2,2,2,0.977,1.97852529486408,2.8691554631223
1,3,1,1,0.668,45.7027888740413,7.79352282243781
2,3,1,2,0.83,4.31321954564191,4.9125014313031
1,2,2,2,0.496,8.57540637347847,2.44943698123097
2,4,1,2,0.831,2.74800760834478,2.73131615621969
1,4,1,1,0.666,2.59689546492882,3.24728409713134
4,3,2,3,0.668,4.01374452910386,3.79686650983058
2,4,1,2,0.667,2.16550943744369,3.28074431233108
3,2,2,2,0.502,3.69710106775165,4.14660332538188
4,1,2,1,0.666,2.29788759467192,2.09814592893235
3,1,2,1,0.497,3.98006660398096,4.47960930387489
1,2,2,2,0.498,2.74811044638045,3.09790816204622
3,4,1,3,0.663,1.76538683427498,2.66479941876605
4,3,2,3,0.667,1.64905866933987,2.11498397984542
3,2,2,2,0.663,2.11502227047458,2.11607581120916
2,1,1,2,0.666,6.02855937345885,2.56479183351621
4,1,2,1,0.659,1.96474996907637,2.29793901345693
4,2,2,2,0.663,1.83333272556774,2.39935095468536
3,1,2,1,0.664,5.21218577027321,2.58183410158381
2,1,1,2,0.666,3.76377607323229,3.36393609177321
1,4,1,1,0.837,2.96467338781804,2.09822798054665
3,4,1,3,0.829,2.08140743384138,1.94860662054271
4,2,2,2,0.833,2.04828672925942,1.99849317083135
1,3,1,1,0.497,3.74693145812489,2.84746563131921
2,3,1,2,0.497,2.79720930266194,2.84753200202249
3,2,2,2,0.833,3.45177822641563,5.90068881929619
2,1,2,1,0.995,3.15325106371893,4.5430366138462
2,4,1,2,0.496,3.31980623485288,3.84140847291565
1,4,1,1,0.837,2.61024345876649,4.12640405615093
3,1,2,1,0.829,2.31957522511948,2.10202315682545
4,3,1,4,0.673,2.75635798514122,4.03818204911659
2,3,1,2,0.839,2.2336031748564,1.54206340137171
2,1,2,1,1,2.30388071550988,2.10473088786239
1,3,1,1,0.999,1.80486011883477,2.32297067879699
4,2,2,2,0.851,2.24332786997547,1.76806766568916
4,3,1,4,0.756,4.50808056403184,2.83979388134321
1,4,1,1,1,1.43037604348501,2.05451404646738
3,4,2,4,0.667,2.14940314233536,3.11482986819465
2,4,1,2,0.779,2.99940071901074,2.65038325323258
3,2,2,2,0.822,3.2955381872016,2.63814292248571
1,2,1,1,1,2.18610007851385,2.15414786251495
3,1,2,1,0.994,1.90085155202542,1.88433311955305
4,1,2,1,0.987,1.68252190435305,2.15892406785861
2,3,1,2,0.808,2.3064416332636,4.00550496490905
1,3,1,1,0.996,1.56289000576362,1.57664162822766
